  Packet #,    ADC,      Pitch,       Roll,        Yaw,   AccX,   AccY,   AccZ,  GyroX,  GyroY,  GyroZ,   MagX,   MagY,   MagZ,   Temp
     39856,    197,     45.098,   -167.003,    -58.609,     17,     59,    340,   -327, -11409,   -239,    201,   -462,   -610,   3094
     39857,    196,     50.461,   -166.501,    -56.167,     48,     43,    133,   -327, -11381,   -266,    151,   -613,   -853,   3097
     39858,    198,     55.599,   -165.796,    -53.464,      1,     39,    -45,   -337, -11357,   -265,    122,   -584,  -1061,   3095
     39859,    196,     60.562,   -164.493,    -50.259,    -51,    -21,   -182,   -338, -11325,   -249,    136,   -599,  -1449,   3097
     39860,    196,     65.423,   -162.306,    -45.934,   -104,     27,   -255,   -336, -11301,   -283,    158,   -418,  -1734,   3095
     39861,    193,     70.189,   -157.078,    -38.583,   -143,    -15,   -362,   -330, -11284,   -247,    122,   -194,  -1977,   3095
     39862,    198,     74.627,   -146.337,    -26.190,   -214,      5,   -497,   -329, -11270,   -279,     93,     79,  -2143,   3096
     39863,    197,     78.074,   -127.603,     -6.180,   -369,     32,   -701,   -333, -11257,   -265,     93,    295,  -2213,   3096
     39864,    199,     79.683,    -98.606,     23.816,   -625,      4,   -874,   -344, -11236,   -258,     64,    570,  -2282,   3094
     39865,    197,     78.908,    -68.339,     54.980,   -778,     23,   -976,   -338, -11234,   -266,     -7,    757,  -2282,   3097
     39866,    192,     76.321,    -47.444,     76.714,  -1117,     58,   -986,   -332, -11214,   -216,    -35,   1133,  -2226,   3096
     39867,    196,     72.714,    -35.246,     89.713,  -1485,     28,   -921,   -339, -11192,   -253,    -35,   1364,  -2185,   3095
     39868,    197,     68.608,    -27.535,     98.181,  -1809,    161,   -709,   -316, -11174,   -274,    -57,   1660,  -1998,   3094
     39869,    195,     64.188,    -22.613,    103.861,  -2026,     68,   -511,   -318, -11168,   -214,    -50,   1797,  -1796,   3096
     39870,    195,     59.700,    -19.352,    107.854,  -2108,    109,   -281,   -334, -11156,   -284,    -43,   2006,  -1665,   3095
     39871,    196,     55.072,    -16.926,    111.001,  -2136,    105,    -47,   -314, -11158,   -234,   -107,   1985,  -1325,   3097
     39872,    197,     50.385,    -15.213,    113.452,  -2059,     79,    119,   -322, -11169,   -257,    -93,   1941,  -1061,   3095
