  Packet #,    ADC,      Pitch,       Roll,        Yaw,   AccX,   AccY,   AccZ,  GyroX,  GyroY,  GyroZ,   MagX,   MagY,   MagZ,   Temp
        58,   4095,     19.145,      1.461,     -3.666,    102,    206,    992,    -10,     19,      7,   -222,    370,   1029,   3204
        59,   4095,     19.222,      1.419,     -3.643,     99,    205,    989,    -10,     17,      6,   -162,    355,    900,   3207
        60,   4095,     19.319,      1.394,     -3.616,     98,    207,    989,    -10,     18,      6,   -170,    392,    950,   3204
        61,   4095,     19.299,      1.443,     -3.545,     98,    208,    990,    -10,     19,      7,   -288,    318,    979,   3206
        62,   4095,     19.285,      1.512,     -3.462,     99,    208,    990,    -10,     17,      7,   -333,    348,    979,   3208
        63,   4095,     19.290,      1.497,     -3.422,    100,    206,    987,    -10,     18,      8,   -222,    325,   1029,   3207
        64,   4095,     19.351,      1.486,     -3.382,     99,    204,    993,     -9,     17,      7,   -229,    392,    893,   3206
        65,   4095,     19.338,      1.485,     -3.338,    101,    207,    991,     -9,     19,      7,   -229,    333,   1022,   3206
        66,   4095,     19.368,      1.548,     -3.257,    100,    207,    988,     -9,     19,      7,   -340,    399,    943,   3207
        67,   4095,     19.288,      1.609,     -3.173,    104,    207,    993,    -10,     18,      8,   -340,    311,    943,   3207
        68,   4095,     19.290,      1.592,     -3.139,    101,    208,    993,     -9,     19,      7,   -192,    325,    943,   3207
        69,   4095,     19.273,      1.579,     -3.095,    102,    204,    988,     -8,     17,      6,   -251,    311,    943,   3209
        70,   4095,     19.293,      1.551,     -3.063,    101,    206,    989,    -10,     17,      7,   -199,    333,    950,   3207
        71,   4095,     19.310,      1.544,     -3.023,    100,    208,    993,    -10,     18,      7,   -199,    333,    893,   3207
        72,   4095,     19.345,      1.542,     -2.981,    100,    208,    991,    -10,     17,      7,   -222,    370,    972,   3208
        73,   4095,     19.370,      1.517,     -2.948,     97,    206,    994,    -11,     17,      7,   -199,    348,    965,   3209
        74,   4095,     19.397,      1.506,     -2.908,    103,    207,    988,    -11,     18,      7,   -222,    370,    972,   3207
        75,   4095,     19.454,      1.500,     -2.867,    100,    207,    990,     -9,     17,      7,   -222,    399,    957,   3207
        76,   4095,     19.421,      1.525,     -2.804,    100,    206,    989,     -9,     18,      7,   -274,    303,    879,   3211
        77,   4095,     19.348,      1.563,     -2.735,     99,    208,    994,    -10,     17,      6,   -296,    296,   1015,   3211
        78,   4095,     19.362,      1.560,     -2.690,     98,    206,    996,    -10,     18,      8,   -229,    348,    893,   3211
        79,   4095,     19.399,      1.565,     -2.637,     98,    204,    991,     -9,     18,      7,   -281,    385,    943,   3210
        80,   4095,     19.353,      1.605,     -2.568,    100,    208,    995,    -10,     17,      7,   -303,    333,    993,   3211
        81,   4095,     19.314,      1.609,     -2.515,     98,    206,    992,    -10,     18,      6,   -259,    288,    936,   3210
        82,   4095,     19.363,      1.592,     -2.479,    101,    207,    991,    -10,     20,      7,   -214,    377,    922,   3210
        83,   4095,     19.393,      1.571,     -2.446,    101,    207,    996,     -8,     18,      7,   -199,    377,    922,   3213
        84,   4095,     19.430,      1.555,     -2.405,    100,    204,    991,    -10,     19,      6,   -244,    377,    907,   3213
        85,   4095,     19.485,      1.498,     -2.388,    102,    206,    985,     -9,     19,      7,   -162,    370,    986,   3212
        86,   4095,     19.456,      1.525,     -2.326,     99,    208,    992,     -8,     18,      8,   -266,    325,    943,   3213
        87,   4095,     19.502,      1.517,     -2.285,    100,    206,    995,    -10,     17,      7,   -229,    407,    907,   3213
        88,   4095,     19.440,      1.503,     -2.244,     99,    208,    993,     -9,     18,      7,   -199,    274,    979,   3214
        89,   4095,     19.473,      1.511,     -2.193,     97,    207,    990,     -9,     18,      8,   -251,    370,    957,   3216
        90,   4095,     19.414,      1.498,     -2.149,    103,    206,    993,    -10,     18,      7,   -222,    296,    929,   3215
        91,   4095,     19.414,      1.514,     -2.096,     97,    209,    991,     -8,     18,      7,   -237,    325,    943,   3214
        92,   4095,     19.402,      1.496,     -2.060,    101,    208,    993,    -10,     17,      6,   -199,    333,    979,   3215
        93,   4095,     19.399,      1.481,     -2.016,     97,    205,    990,     -9,     17,      7,   -237,    325,    986,   3213
        94,   4095,     19.339,      1.506,     -1.955,    100,    207,    999,     -9,     17,      5,   -274,    318,    950,   3213
        95,   4095,     19.395,      1.477,     -1.922,    101,    204,    991,    -10,     17,      6,   -229,    407,    965,   3215
        96,   4095,     19.422,      1.476,     -1.876,    101,    206,    997,     -9,     18,      7,   -251,    414,    986,   3215
        97,   4095,     19.437,      1.469,     -1.834,    100,    208,    990,     -9,     19,      6,   -214,    348,    950,   3215
        98,   4095,     19.374,      1.512,     -1.761,    102,    208,    993,     -9,     18,      6,   -318,    333,   1036,   3214
        99,   4095,     19.350,      1.517,     -1.709,     99,    207,    994,     -8,     19,      7,   -251,    325,    972,   3216
       100,   4095,     19.413,      1.482,     -1.679,    100,    205,    989,     -9,     18,      8,   -199,    377,    893,   3215
       101,   4095,     19.433,      1.497,     -1.625,    101,    208,    994,     -9,     19,      8,   -251,    385,    929,   3216
       102,   4095,     19.351,      1.506,     -1.568,    102,    208,    991,    -10,     19,      7,   -244,    259,    922,   3216
       103,   4095,     19.380,      1.459,     -1.545,    102,    205,    994,     -8,     20,      7,   -185,    377,    979,   3214
       104,   4095,     19.417,      1.439,     -1.508,    100,    206,    989,     -9,     18,      6,   -214,    362,    922,   3214
       105,   4095,     19.434,      1.427,     -1.468,    101,    208,    990,     -9,     17,      6,   -207,    355,    957,   3216
       106,   4095,     19.399,      1.424,     -1.424,    102,    209,    995,     -8,     15,      6,   -207,    325,    957,   3216
       107,   4095,     19.360,      1.459,     -1.354,    104,    206,    996,    -10,     17,      8,   -311,    370,    943,   3217
       108,   4095,     19.400,      1.477,     -1.299,     99,    209,    995,    -10,     16,      8,   -244,    392,    907,   3217
       109,   4095,     19.452,      1.455,     -1.265,    101,    207,    991,     -9,     17,      6,   -207,    399,    957,   3218
       110,   4095,     19.509,      1.399,     -1.246,    101,    205,    990,    -10,     18,      7,   -170,    392,    965,   3216
       111,   4095,     19.465,      1.396,     -1.195,    100,    206,    993,    -10,     16,      7,   -244,    318,    965,   3218
       112,   4095,     19.408,      1.431,     -1.128,    102,    209,    997,    -10,     19,      8,   -274,    333,    950,   3217
       113,   4095,     19.484,      1.424,     -1.085,    100,    206,    991,    -10,     18,      6,   -244,    436,    950,   3216
       114,   4095,     19.426,      1.416,     -1.038,    102,    207,    993,     -9,     18,      7,   -222,    296,    929,   3219
       115,   4095,     19.439,      1.421,      0.982,     99,    204,    991,     -8,     18,      7,   -281,    370,    929,   3217
       116,   4095,     19.331,      1.431,      0.924,     99,    208,    999,     -8,     17,      8,   -237,    251,    957,   3218
       117,   4095,     19.325,      1.414,      0.886,    102,    208,    994,    -10,     18,      6,   -192,    325,    886,   3217
       118,   4095,     19.344,      1.388,      0.852,    100,    207,    991,     -9,     18,      6,   -199,    348,    979,   3220
       119,   4095,     19.363,      1.381,      0.805,     99,    206,    994,    -10,     18,      7,   -244,    377,    993,   3220
       120,   4095,     19.329,      1.402,      0.742,    101,    207,    991,    -10,     17,      6,   -281,    325,    957,   3217
       121,   4095,     19.348,      1.405,      0.688,    100,    205,    992,    -10,     17,      7,   -266,    370,    915,   3220
       122,   4095,     19.415,      1.365,      0.662,    100,    207,    990,     -9,     18,      8,   -162,    370,    872,   3219
       123,   4095,     19.422,      1.339,      0.625,     99,    206,    990,     -9,     17,      7,   -207,    340,    986,   3220
       124,   4095,     19.422,      1.343,      0.574,     96,    208,    990,     -8,     18,      6,   -229,    318,    950,   3219
       125,   4095,     19.450,      1.319,      0.540,    100,    207,    993,     -9,     19,      6,   -192,    370,    943,   3219
       126,   4095,     19.463,      1.297,      0.504,    100,    208,    991,    -10,     19,      7,   -185,    348,    965,   3219
       127,   4095,     19.460,      1.295,      0.452,     97,    206,    990,    -10,     19,      7,   -244,    333,    965,   3220
       128,   4095,     19.407,      1.299,      0.399,    101,    207,    994,     -8,     17,      6,   -244,    318,    993,   3219
       129,   4095,     19.400,      1.319,      0.337,    100,    208,    988,    -10,     18,      8,   -266,    340,    972,   3218
       130,   4095,     19.405,      1.303,      0.293,    101,    205,    993,     -9,     16,      7,   -229,    362,    936,   3218
       131,   4095,     19.412,      1.275,      0.257,    100,    206,    989,     -9,     17,      6,   -199,    333,    950,   3219
       132,   4095,     19.370,      1.259,      0.215,    102,    208,    991,    -11,     18,      6,   -207,    311,   1029,   3219
       133,   4095,     19.370,      1.269,      0.153,    101,    205,    988,    -11,     17,      8,   -281,    355,    943,   3220
       134,   4095,     19.382,      1.263,      0.103,     98,    205,    988,     -9,     18,      7,   -237,    325,    886,   3221
       135,   4095,     19.399,      1.265,      0.051,    100,    206,    994,     -8,     19,      8,   -244,    377,    936,   3221
       136,   4095,     19.357,      1.300,      0.024,    101,    206,    990,     -9,     18,      7,   -311,    325,    929,   3221
       137,   4095,     19.392,      1.294,      0.072,    102,    206,    988,     -9,     19,      7,   -237,    370,    886,   3220
       138,   4095,     19.324,      1.282,      0.123,    102,    205,    993,    -10,     19,      7,   -237,    281,    915,   3222
       139,   4095,     19.336,      1.283,      0.177,    100,    205,    992,    -10,     17,      6,   -266,    370,    957,   3222
       140,   4095,     19.365,      1.295,      0.231,    101,    208,    993,     -9,     17,      6,   -259,    407,   1007,   3221
       141,   4095,     19.369,      1.303,      0.287,     97,    207,    992,    -10,     18,      7,   -259,    348,    979,   3220
       142,   4095,     19.341,      1.290,      0.339,     99,    204,    988,     -9,     19,      7,   -259,    303,    965,   3220
       143,   4095,     19.387,      1.250,      0.369,    100,    207,    986,    -10,     17,      8,   -177,    355,    972,   3221
       144,   4095,     19.497,      1.207,      0.397,     99,    203,    987,    -10,     19,      5,   -199,    422,    864,   3222
       145,   4095,     19.539,      1.185,      0.435,    102,    206,    989,     -9,     18,      6,   -214,    407,    979,   3221
       146,   4095,     19.558,      1.185,      0.486,    101,    206,    991,     -9,     18,      6,   -244,    392,    936,   3220
       147,   4095,     19.573,      1.160,      0.524,    101,    205,    996,    -10,     18,      6,   -214,    407,    993,   3225
       148,   4095,     19.566,      1.173,      0.583,    100,    207,    989,     -9,     17,      6,   -259,    362,    965,   3221
       149,   4095,     19.497,      1.191,      0.647,    102,    208,    990,     -9,     18,      6,   -259,    303,    965,   3221
       150,   4095,     19.472,      1.220,      0.717,    100,    207,    988,     -9,     17,      6,   -288,    333,    922,   3223
       151,   4095,     19.462,      1.211,      0.766,    103,    205,    995,     -9,     18,      7,   -244,    377,    936,   3224
       152,   4095,     19.504,      1.169,      0.795,    100,    205,    993,     -9,     15,      7,   -177,    385,    915,   3222
       153,   4095,     19.516,      1.156,      0.841,    100,    205,    992,     -8,     18,      8,   -237,    385,    986,   3224
       154,   4095,     19.525,      1.134,      0.885,    100,    205,    988,    -10,     18,      7,   -222,    355,    957,   3221
       155,   4095,     19.454,      1.131,      0.945,     99,    204,    992,    -10,     17,      7,   -274,    303,   1022,   3224
       156,   4095,     19.436,      1.134,      1.007,    100,    203,    989,     -9,     18,      8,   -288,    348,    950,   3222
       157,   4095,     19.431,      1.148,      1.068,    102,    207,    990,     -9,     17,      6,   -266,    370,    972,   3222
       158,   4095,     19.425,      1.128,      1.114,     99,    204,    993,    -11,     18,      8,   -237,    355,    986,   3225
       159,   4095,     19.347,      1.156,      1.189,    103,    207,    990,    -11,     19,      7,   -288,    288,    922,   3222
       160,   4095,     19.385,      1.132,      1.226,    102,    207,    995,    -10,     18,      8,   -192,    399,    957,   3224
       161,   4095,     19.424,      1.124,      1.269,     95,    208,    996,    -10,     17,      6,   -207,    385,   1000,   3223
       162,   4095,     19.442,      1.108,      1.314,     99,    206,    992,     -9,     18,      7,   -214,    362,    936,   3221
       163,   4095,     19.429,      1.103,      1.366,    101,    205,    991,     -8,     17,      6,   -251,    355,    972,   3223
       164,   4095,     19.422,      1.089,      1.420,    100,    203,    986,     -9,     17,      7,   -266,    340,    972,   3224
       165,   4095,     19.447,      1.017,      1.433,    100,    206,    991,     -9,     17,      6,   -103,    325,    886,   3224
       166,   4095,     19.491,      1.006,      1.475,    100,    207,    994,     -9,     17,      7,   -199,    407,    950,   3222
       167,   4095,     19.436,      1.038,      1.548,     98,    208,    994,    -10,     17,      7,   -274,    318,    979,   3226
       168,   4095,     19.404,      1.005,      1.587,    101,    205,    991,     -9,     18,      6,   -199,    318,    993,   3226
       169,   4095,     19.375,      1.017,      1.645,     98,    209,    993,    -10,     16,      6,   -214,    303,    907,   3224
       170,   4095,     19.399,      1.041,      1.709,     98,    209,    990,    -10,     18,      6,   -251,    370,    957,   3224
       171,   4095,     19.317,      1.076,      1.786,    101,    208,    992,     -9,     17,      7,   -296,    296,   1015,   3225
       172,   4095,     19.281,      1.082,      1.840,    101,    210,    996,    -10,     18,      8,   -199,    303,    893,   3224
       173,   4095,     19.300,      1.054,      1.880,     98,    207,    988,    -10,     17,      8,   -185,    318,    936,   3224
       174,   4095,     19.311,      1.040,      1.926,     98,    206,    997,    -10,     18,      8,   -214,    362,    965,   3226
       175,   4095,     19.274,      1.055,      1.991,    100,    207,    994,    -10,     18,      6,   -259,    318,    936,   3225
       176,   4095,     19.282,      1.056,      2.046,    100,    205,    995,     -9,     18,      6,   -259,    377,    965,   3224
       177,   4095,     19.283,      1.052,      2.098,    101,    208,    987,    -10,     18,      7,   -229,    333,    993,   3224
       178,   4095,     19.311,      1.052,      2.152,    102,    206,    993,    -10,     19,      7,   -251,    399,    957,   3225
       179,   4095,     19.337,      1.036,      2.200,    104,    204,    990,    -10,     18,      6,   -251,    399,    957,   3226
       180,   4095,     19.311,      1.036,      2.262,     98,    205,    990,    -10,     19,      8,   -251,    296,    886,   3225
       181,   4095,     19.368,      1.003,      2.295,     99,    207,    988,     -8,     17,      7,   -170,    362,    922,   3226
       182,   4095,     19.332,      1.037,      2.373,     99,    207,    992,     -8,     17,      7,   -288,    318,    893,   3224
       183,   4095,     19.334,      1.007,      2.413,     98,    205,    993,     -9,     18,      6,   -207,    340,    986,   3225
       184,   4095,     19.367,      0.992,      2.456,     98,    207,    993,     -9,     16,      7,   -192,    355,    886,   3226
       185,   4095,     19.345,      0.966,      2.501,    102,    204,    993,    -10,     17,      6,   -229,    348,    993,   3227
       186,   4095,     19.295,      0.994,      2.578,    100,    206,    994,    -10,     17,      8,   -296,    325,    943,   3226
       187,   4095,     19.287,      1.002,      2.639,     99,    207,    990,     -9,     17,      6,   -244,    318,    893,   3226
       188,   4095,     19.323,      0.999,      2.688,     99,    208,    997,    -10,     18,      8,   -207,    385,    915,   3227
       189,   4095,     19.346,      0.948,      2.719,    100,    204,    985,     -8,     19,      6,   -192,    340,   1015,   3226
       190,   4095,     19.334,      0.935,      2.764,     98,    209,    993,     -9,     17,      6,   -185,    318,    979,   3225
       191,   4095,     19.301,      0.949,      2.828,    100,    208,    993,    -11,     17,      7,   -244,    318,    936,   3227
       192,   4095,     19.305,      0.942,      2.875,    104,    208,    994,     -9,     19,      5,   -207,    370,    943,   3227
       193,   4095,     19.282,      0.947,      2.931,    103,    208,    997,     -7,     19,      7,   -237,    370,   1029,   3226
       194,   4095,     19.254,      0.946,      2.988,    103,    206,    996,    -10,     19,      7,   -244,    348,    950,   3226
       195,   4095,     19.205,      0.917,      3.035,    102,    203,    994,     -8,     17,      7,   -222,    296,    915,   3226
       196,   4095,     19.219,      0.933,      3.094,    100,    208,   1000,     -9,     18,      7,   -237,    385,    929,   3225
       197,   4095,     19.222,      0.931,      3.151,     97,    207,    991,    -10,     18,      7,   -229,    318,    936,   3227
       198,   4095,     19.316,      0.905,      3.188,    100,    208,    984,     -9,     17,      8,   -185,    407,   1007,   3227
       199,   4095,     19.272,      0.926,      3.255,    100,    208,    997,     -7,     17,      6,   -259,    333,    979,   3227
       200,   4095,     19.224,      0.926,      3.316,    101,    207,    989,     -9,     16,      7,   -244,    288,    965,   3228
       201,   4095,     19.123,      0.913,      3.374,    103,    205,    995,     -8,     17,      7,   -237,    251,    943,   3227
       202,   4095,     19.149,      0.870,      3.408,    103,    204,    994,    -10,     17,      8,   -185,    362,    922,   3228
       203,   4095,     19.120,      0.850,      3.460,    102,    204,    991,    -10,     18,      6,   -237,    311,    972,   3226
       204,   4095,     19.155,      0.871,      3.533,     98,    204,    990,    -11,     18,      7,   -303,    377,    907,   3230
       205,   4095,     19.194,      0.871,      3.590,     97,    207,    989,    -11,     19,      7,   -237,    355,    972,   3224
       206,   4095,     19.231,      0.892,      3.654,     92,    211,    987,    -10,     19,      6,   -229,    318,    979,   3227
       207,   4095,     19.304,      0.912,      3.718,     98,    208,    985,     -9,     17,      7,   -259,    392,    907,   3229
       208,   4095,     19.199,      0.923,      3.793,    101,    206,    989,     -8,     16,      7,   -288,    244,    993,   3228
       209,   4095,     19.178,      0.903,      3.845,    102,    204,    993,     -9,     17,      7,   -237,    325,    915,   3227
       210,   4095,     19.177,      0.876,      3.889,    103,    206,    989,     -8,     18,      7,   -199,    318,    907,   3227
       211,   4095,     19.212,      0.874,      3.942,    101,    207,    995,     -9,     19,      7,   -229,    392,    950,   3230
       212,   4095,     19.255,      0.849,      3.984,     96,    206,    993,    -10,     17,      6,   -199,    362,    965,   3226
       213,   4095,     19.195,      0.860,      4.054,     98,    208,    988,    -10,     19,      7,   -251,    251,    943,   3227
       214,   4095,     19.223,      0.836,      4.098,     98,    205,    995,     -9,     17,      7,   -199,    348,    879,   3228
       215,   4095,     19.246,      0.858,      4.168,     96,    207,    992,    -10,     17,      6,   -281,    370,    972,   3231
       216,   4095,     19.247,      0.821,      4.209,    102,    206,    985,    -10,     18,      7,   -192,    311,    957,   3229
       217,   4095,     19.287,      0.839,      4.274,    102,    206,    996,     -9,     17,      6,   -274,    436,    922,   3227
       218,   4095,     19.260,      0.822,      4.324,    101,    206,    997,    -10,     19,      7,   -214,    333,    950,   3227
       219,   4095,     19.277,      0.794,      4.373,     99,    203,    987,    -10,     18,      7,   -237,    340,    943,   3227
       220,   4095,     19.296,      0.789,      4.426,     96,    208,    996,    -10,     18,      7,   -207,    355,    957,   3227
       221,   4095,     19.325,      0.795,      4.490,     95,    206,    988,    -12,     19,      6,   -259,    348,    936,   3227
       222,   4095,     19.312,      0.843,      4.568,     99,    212,    992,     -8,     16,      6,   -251,    325,    857,   3228
       223,   4095,     19.314,      0.814,      4.612,    100,    204,    997,     -7,     18,      6,   -207,    355,    900,   3229
       224,   4095,     19.378,      0.778,      4.653,    104,    204,    984,    -10,     19,      8,   -222,    414,    972,   3228
       225,   4095,     19.382,      0.714,      4.675,    104,    205,    997,     -9,     15,      8,   -133,    370,    957,   3229
       226,   4095,     19.325,      0.744,      4.755,    102,    208,    990,    -11,     18,      6,   -281,    311,    929,   3230
       227,   4095,     19.407,      0.730,      4.798,     98,    210,    985,    -10,     20,      6,   -170,    377,    922,   3229
       228,   4095,     19.465,      0.719,      4.845,     96,    207,    994,     -9,     17,      6,   -207,    414,    986,   3228
       229,   4095,     19.399,      0.736,      4.917,     97,    207,    997,    -11,     17,      5,   -266,    311,    972,   3228
       230,   4095,     19.430,      0.745,      4.983,     99,    207,    980,    -10,     16,      5,   -266,    355,    943,   3229
       231,   4095,     19.351,      0.776,      5.060,    101,    209,   1001,     -9,     16,      6,   -266,    325,    943,   3228
       232,   4095,     19.373,      0.735,      5.098,    103,    204,    992,    -10,     19,      6,   -192,    370,    886,   3228
       233,   4095,     19.412,      0.695,      5.138,    102,    204,    986,    -11,     18,      8,   -207,    385,    972,   3230
       234,   4095,     19.346,      0.725,      5.219,     99,    206,   1001,    -10,     19,      7,   -296,    340,    943,   3231
       235,   4095,     19.329,      0.723,      5.282,     97,    208,    986,    -10,     19,      7,   -222,    281,    900,   3228
       236,   4095,     19.337,      0.739,      5.352,     94,    207,    991,    -10,     17,      7,   -266,    340,    943,   3229
       237,   4095,     19.346,      0.704,      5.389,     98,    208,    994,     -8,     17,      6,   -155,    333,    950,   3229
       238,   4095,     19.374,      0.694,      5.442,     99,    207,    989,     -9,     18,      6,   -222,    370,    972,   3229
       239,   4095,     19.369,      0.679,      5.498,    101,    204,    989,     -8,     17,      6,   -244,    348,    922,   3230
       240,   4095,     19.346,      0.675,      5.555,    101,    207,    997,     -8,     17,      7,   -222,    355,    957,   3228
       241,   4095,     19.352,      0.639,      5.596,    100,    204,    997,     -9,     18,      7,   -199,    377,    979,   3230
       242,   4095,     19.291,      0.630,      5.658,    101,    206,    989,     -9,     18,      6,   -237,    281,    957,   3231
       243,   4095,     19.282,      0.625,      5.724,     97,    203,    993,    -10,     19,      7,   -274,    348,    965,   3227
       244,   4095,     19.289,      0.640,      5.793,     94,    207,    991,     -8,     18,      6,   -251,    325,    915,   3231
       245,   4095,     19.374,      0.626,      5.838,     99,    207,    993,     -8,     18,      8,   -192,    429,    915,   3228
       246,   4095,     19.391,      0.600,      5.886,    102,    204,    991,    -10,     15,      6,   -222,    385,    943,   3230
       247,   4095,     19.328,      0.577,      5.944,    103,    203,    993,    -10,     16,      6,   -251,    325,   1000,   3230
