  Packet #,    ADC,      Pitch,       Roll,        Yaw,   AccX,   AccY,   AccZ,  GyroX,  GyroY,  GyroZ,   MagX,   MagY,   MagZ,   Temp
         0,   4095,      1.142,      0.150,      0.101,     86,    211,    989,    -14,     35,      1,   -355,    385,    957,   3156
         1,   4095,      2.233,      0.234,      0.154,     83,    198,    994,    -33,     68,    -88,   -407,    392,    950,   3159
         2,   4095,      3.246,      0.281,      0.200,     84,    190,    985,    -14,      3,    -88,   -422,    318,    950,   3162
         3,   4095,      4.172,      0.305,      0.261,     96,    192,    999,     -4,    -25,    -41,   -348,    466,    965,   3160
         4,   4095,      5.152,      0.485,      0.342,     85,    218,    991,    -18,     38,    -20,   -362,    362,    979,   3164
         5,   4095,      6.070,      0.543,      0.407,     86,    197,    997,    -27,     65,    -34,   -399,    370,    986,   3166
         6,   4095,      6.981,      0.625,      0.449,     97,    208,    988,    -35,    102,    -62,   -348,    377,    950,   3167
         7,   4095,      7.966,      0.506,      0.407,     41,    166,   1001,    -25,     42,   -153,   -340,    385,    915,   3167
         8,   4095,      8.803,      0.584,      0.406,     90,    211,    985,     -9,     -9,   -107,   -281,    414,   1000,   3169
         9,   4095,      9.578,      0.689,      0.419,     96,    215,    985,    -16,     22,    -93,   -303,    392,    993,   3172
        10,   4095,     10.406,      0.581,      0.356,     29,    162,   1005,    -22,     11,   -190,   -399,    355,    943,   3174
        11,   4095,     11.048,      0.795,      0.364,     88,    226,    988,     -5,    -10,   -157,   -362,    333,    907,   3173
        12,   4095,     11.473,      1.246,      0.154,    127,    283,    992,    -39,    -90,   -585,   -288,    377,    979,   3176
        13,   4095,     12.133,      1.399,      0.241,     86,    244,    964,    -42,    -87,   -801,   -311,    296,    986,   3174
        14,   4095,     12.561,      1.135,      0.811,     83,    171,   1036,    -46,    -64,   -959,   -348,    377,    950,   3176
        15,   4095,     13.088,      0.893,     -1.376,     55,    173,   1059,    -84,     51,   -967,   -325,    399,    943,   3177
        16,   4095,     13.732,      0.920,     -1.813,     66,    230,   1008,    -90,     75,   -843,   -266,    399,    972,   3179
        17,   4095,     14.175,      0.567,     -2.352,     81,    162,   1005,    -38,    -84,   -843,   -237,    385,    929,   3178
        18,   4095,     14.355,      0.404,     -2.798,     83,    177,   1055,    -27,   -157,   -781,   -303,    392,    965,   3180
        19,   4095,     14.301,      0.033,     -3.453,    102,    139,    993,     84,   -586,  -1044,   -362,    377,    922,   3180
        20,   4095,     14.268,      0.260,     -4.186,     28,    132,   1062,     83,   -736,  -1199,   -296,    385,    929,   3182
        21,   4095,     14.160,      0.137,     -4.760,     66,    222,   1051,     83,   -749,  -1097,   -237,    370,    943,   3183
        22,   4095,     14.536,      0.252,     -5.126,     53,    175,   1020,    -34,   -123,   -678,   -303,    377,   1007,   3181
        23,   4095,     15.046,      0.441,     -5.291,     48,    156,    983,    -23,    -31,   -292,   -259,    318,    965,   3184
        24,   4095,     15.308,      0.325,     -5.299,    107,    212,   1001,    -18,     -8,   -142,   -192,    355,    957,   3184
        25,   4095,     15.472,      0.104,     -5.264,    121,    225,    991,    -21,      2,   -136,   -251,    311,    929,   3186
        26,   4095,     15.702,      0.030,     -5.251,    111,    215,    992,    -16,     -3,   -122,   -237,    355,   1000,   3184
        27,   4095,     15.958,      0.001,     -5.294,     80,    183,    998,    -18,    -19,   -155,   -266,    281,    900,   3187
        28,   4095,     16.252,      0.069,     -5.261,     96,    203,    992,    -11,      7,    -55,   -222,    370,    900,   3188
        29,   4095,     16.505,      0.164,     -5.209,     99,    209,    992,    -11,     10,    -31,   -207,    355,    957,   3189
        30,   4095,     16.638,      0.326,     -5.174,    114,    222,    988,    -15,      0,   -101,   -229,    318,    993,   3188
        31,   4095,     16.800,      0.398,     -5.164,    105,    208,    992,    -17,      5,   -101,   -244,    333,    993,   3189
        32,   4095,     16.950,      0.457,     -5.139,    103,    205,    989,    -13,      6,    -68,   -244,    303,    965,   3189
        33,   4095,     17.022,      0.628,     -5.080,    122,    224,    983,    -16,      6,    -70,   -251,    311,    986,   3189
        34,   4095,     17.169,      0.712,     -5.008,    103,    208,    993,     -9,     16,      3,   -237,    311,    872,   3192
        35,   4095,     17.315,      0.782,     -4.935,     99,    206,    986,    -11,     20,      6,   -266,    296,   1000,   3193
        36,   4095,     17.452,      0.842,     -4.869,     99,    207,    993,    -12,     19,      7,   -237,    311,    972,   3193
        37,   4095,     17.669,      0.861,     -4.827,    100,    207,    997,     -9,     19,      8,   -162,    399,    900,   3192
        38,   4095,     17.823,      0.899,     -4.771,     98,    206,    986,     -9,     19,      6,   -222,    325,    972,   3195
        39,   4095,     17.933,      1.016,     -4.676,     99,    209,    993,     -8,     19,      6,   -340,    385,   1029,   3195
        40,   4095,     18.016,      1.080,     -4.604,     99,    206,    996,     -9,     17,      8,   -281,    340,    986,   3196
        41,   4095,     18.113,      1.141,     -4.535,    101,    207,    995,     -9,     19,      8,   -266,    355,    929,   3196
        42,   4095,     18.189,      1.137,     -4.496,     98,    207,    987,    -10,     16,      7,   -162,    251,    943,   3196
        43,   4095,     18.340,      1.124,     -4.466,    100,    207,    989,     -9,     18,      7,   -155,    362,    965,   3199
        44,   4095,     18.432,      1.122,     -4.426,    101,    206,    987,     -9,     17,      8,   -177,    311,    929,   3198
        45,   4095,     18.499,      1.151,     -4.368,    101,    204,    991,     -9,     18,      6,   -266,    355,   1000,   3199
        46,   4095,     18.612,      1.182,     -4.316,    101,    208,    990,     -9,     19,      7,   -222,    385,    957,   3198
        47,   4095,     18.695,      1.208,     -4.264,    104,    208,    989,     -9,     18,      6,   -214,    362,    907,   3199
        48,   4095,     18.728,      1.275,     -4.190,    101,    209,    988,     -9,     18,      6,   -281,    325,    957,   3196
        49,   4095,     18.750,      1.283,     -4.141,     99,    205,    992,     -9,     18,      8,   -222,    296,    957,   3200
        50,   4095,     18.798,      1.286,     -4.093,    102,    203,    994,    -10,     17,      8,   -237,    355,    915,   3198
        51,   4095,     18.896,      1.298,     -4.047,    101,    207,    987,     -9,     18,      7,   -222,    385,    972,   3201
        52,   4095,     18.939,      1.331,     -3.992,    100,    209,    993,    -10,     18,      6,   -229,    348,    950,   3202
        53,   4095,     18.945,      1.363,     -3.929,     99,    206,    987,     -9,     17,      7,   -274,    303,    993,   3202
        54,   4095,     18.943,      1.415,     -3.857,     98,    208,    987,    -10,     19,      7,   -274,    274,    907,   3202
        55,   4095,     18.993,      1.440,     -3.802,    101,    207,    990,     -8,     19,      6,   -251,    355,    915,   3204
        56,   4095,     19.070,      1.441,     -3.760,    101,    207,    989,    -10,     18,      7,   -222,    385,    972,   3201
        57,   4095,     19.113,      1.472,     -3.704,    101,    210,    989,    -11,     17,      7,   -237,    355,    943,   3203
